norad_cat_id,satellite_name,country,approximate_orbit_type,object_type,launch_year,launch_site,longitude,avg_longitude,geohash,days_old,conjunction_count
44657,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,0,0,"28.4917337,-80.5825555",2399,0
43678,DIWATA 2B,RP,LEO,PAYLOAD,2018,TNSTA,134.52084152355408,-153.3985651,"30.4,130.97",2387,0
44648,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,70.09007525444672,0,"28.4917337,-80.5825555",2399,0
43811,NEXTSAT-1,SKOR,LEO,PAYLOAD,2018,AFWTR,30.236255783147644,-35.35054447,"34.742221,-120.57243",2352,0
43710,TIANZHI 1,PRC,LEO,PAYLOAD,2018,JSC,173.69047329603077,-72.36729023,"40.9675,100.278611",2366,67
44689,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,169.8738572526788,-160.2500584,"28.4917337,-80.5825555",2399,0
43846,CZ-3B R/B,PRC,Unknown Orbit Category,ROCKET BODY,2018,XSC,0,0,"28.246017,102.026556",2348,0
43771,OBJECT P,TBD,LEO,UNKNOWN,2018,AFWTR,36.68949773519952,132.73132385652232,"34.742221,-120.57243",2352,0
43911,YUNHAI 2-1C,PRC,LEO,PAYLOAD,2018,JSC,-26.31964556,-143.8291733,"40.9675,100.278611",2326,16
43765,HAWK-A,US,LEO,PAYLOAD,2018,AFWTR,25.918774134377262,71.51323691705676,"34.742221,-120.57243",2352,13
44072,PRISMA,IT,LEO,PAYLOAD,2019,FRGUI,134.16617354063908,162.47781247713272,"5.222222,-52.773611",2243,0
43611,TELSTAR 18V,CA,GEO,PAYLOAD,2018,AFETR,138.01802147015056,138.00772853139685,"28.4917337,-80.5825555",2436,0
46868,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,0,0,"28.4917337,-80.5825555",2399,0
43815,FALCONSAT-6,US,LEO,PAYLOAD,2018,AFWTR,-122.8504171,-25.19704344,"34.742221,-120.57243",2352,34
43930,IRIDIUM 170,US,LEO,PAYLOAD,2019,AFWTR,21.61878510718696,49.203070663632374,"34.742221,-120.57243",2313,2
43769,FLOCK 3S 1,US,LEO,PAYLOAD,2018,AFWTR,-45.08258399,-30.00415652,"34.742221,-120.57243",2352,23
49349,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,-84.71028971,-63.53428897,"28.4917337,-80.5825555",2399,0
44113,O3B FM19,O3B,Unknown Orbit Category,PAYLOAD,2019,FRGUI,89.37623121222218,-159.0650905,"5.222222,-52.773611",2230,0
43577,IRIDIUM 164,US,LEO,PAYLOAD,2018,AFWTR,76.65490624047891,-42.19810634,"34.742221,-120.57243",2483,12
43677,TEN-KOH,JPN,LEO,PAYLOAD,2018,TNSTA,-56.93664453,-96.02387672,"30.4,130.97",2387,0
43767,CORVUS BC4,US,LEO,PAYLOAD,2018,AFWTR,22.17800327439313,-13.60481501,"34.742221,-120.57243",2352,14
43873,NAVSTAR 77 (USA 289),US,MEO,PAYLOAD,2018,AFETR,-22.65185892,50.04837611175158,"28.4917337,-80.5825555",2332,0
44048,NUSANTARA SATU,INDO,GEO,PAYLOAD,2019,AFETR,146.04831902656667,146.00011712755415,"28.4917337,-80.5825555",2271,0
43643,YAOGAN-32 B,PRC,LEO,PAYLOAD,2018,JSC,-161.0479148,-176.1791568,"40.9675,100.278611",2407,14
43575,IRIDIUM 163,US,LEO,PAYLOAD,2018,AFWTR,-107.4578677,103.73774370080454,"34.742221,-120.57243",2483,65
43708,YZ-1 R/B,PRC,MEO,ROCKET BODY,2018,XSC,73.43041279762357,152.6270944354847,"28.246017,102.026556",2367,0
43707,BEIDOU 3M18,PRC,MEO,PAYLOAD,2018,XSC,-167.8761876,-94.01657436,"28.246017,102.026556",2367,0
43914,HONGYAN 1,PRC,LEO,PAYLOAD,2018,JSC,-65.97571984,-156.5188446,"40.9675,100.278611",2326,11
45038,COSMOS 2528 DEB,CIS,LEO,DEBRIS,2018,PKMTR,3.660298872730541,50.91237332729812,"62.925556,40.577778",2391,0
44678,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,-12.64680326,-105.2176569,"28.4917337,-80.5825555",2399,0
52969,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,0,153.24584685509146,"28.4917337,-80.5825555",2399,0
52041,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,-153.4820173,0,"28.4917337,-80.5825555",2399,0
44205,CZ-3B R/B,PRC,HEO,ROCKET BODY,2019,XSC,-81.70319619,-116.109115,"28.246017,102.026556",2214,0
44682,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,-20.10646025,9.342656960268782,"28.4917337,-80.5825555",2399,0
46859,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,0,0,"28.4917337,-80.5825555",2399,0
43672,GOSAT 2,JPN,LEO,PAYLOAD,2018,TNSTA,-105.1555589,-159.8994999,"30.4,130.97",2387,0
46850,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,0,0,"28.4917337,-80.5825555",2399,0
43762,STPSAT-5,US,LEO,PAYLOAD,2018,AFWTR,-160.9010969,105.82183162521993,"34.742221,-120.57243",2352,14
46601,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,109.45069989919695,-46.53651248,"28.4917337,-80.5825555",2399,0
43657,COSMOS 2528,CIS,LEO,PAYLOAD,2018,PKMTR,-35.72616844,31.90122706692413,"62.925556,40.577778",2391,13
44077,CZ-3B R/B,PRC,HEO,ROCKET BODY,2019,XSC,-78.60710654,-118.7457211,"28.246017,102.026556",2234,0
43808,POLAR SCOUT YUKON,US,LEO,PAYLOAD,2018,AFWTR,150.09040637823716,146.02728110539977,"34.742221,-120.57243",2352,7
49357,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,0,0,"28.4917337,-80.5825555",2399,0
44116,FREGAT R/B,CIS,Unknown Orbit Category,ROCKET BODY,2019,FRGUI,0,0,"5.222222,-52.773611",2230,0
