geohash,country,satellite_name,approximate_orbit_type,longitude,object_type,launch_year,launch_site,norad_cat_id,avg_longitude,days_old,conjunction_count
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,0,DEBRIS,2018,AFETR,44657,0,2399,0
"30.4,130.97",RP,DIWATA 2B,LEO,134.52084152355408,PAYLOAD,2018,TNSTA,43678,-153.3985651,2387,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,70.09007525444672,DEBRIS,2018,AFETR,44648,0,2399,0
"34.742221,-120.57243",SKOR,NEXTSAT-1,LEO,30.236255783147644,PAYLOAD,2018,AFWTR,43811,-35.35054447,2352,0
"40.9675,100.278611",PRC,TIANZHI 1,LEO,173.69047329603077,PAYLOAD,2018,JSC,43710,-72.36729023,2366,67
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,169.8738572526788,DEBRIS,2018,AFETR,44689,-160.2500584,2399,0
"28.246017,102.026556",PRC,CZ-3B R/B,Unknown Orbit Category,0,ROCKET BODY,2018,XSC,43846,0,2348,0
"34.742221,-120.57243",TBD,OBJECT P,LEO,36.68949773519952,UNKNOWN,2018,AFWTR,43771,132.73132385652232,2352,0
"40.9675,100.278611",PRC,YUNHAI 2-1C,LEO,-26.31964556,PAYLOAD,2018,JSC,43911,-143.8291733,2326,16
"34.742221,-120.57243",US,HAWK-A,LEO,25.918774134377262,PAYLOAD,2018,AFWTR,43765,71.51323691705676,2352,13
"5.222222,-52.773611",IT,PRISMA,LEO,134.16617354063908,PAYLOAD,2019,FRGUI,44072,162.47781247713272,2243,0
"28.4917337,-80.5825555",CA,TELSTAR 18V,GEO,138.01802147015056,PAYLOAD,2018,AFETR,43611,138.00772853139685,2436,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,0,DEBRIS,2018,AFETR,46868,0,2399,0
"34.742221,-120.57243",US,FALCONSAT-6,LEO,-122.8504171,PAYLOAD,2018,AFWTR,43815,-25.19704344,2352,34
"34.742221,-120.57243",US,IRIDIUM 170,LEO,21.61878510718696,PAYLOAD,2019,AFWTR,43930,49.203070663632374,2313,2
"34.742221,-120.57243",US,FLOCK 3S 1,LEO,-45.08258399,PAYLOAD,2018,AFWTR,43769,-30.00415652,2352,23
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,-84.71028971,DEBRIS,2018,AFETR,49349,-63.53428897,2399,0
"5.222222,-52.773611",O3B,O3B FM19,Unknown Orbit Category,89.37623121222218,PAYLOAD,2019,FRGUI,44113,-159.0650905,2230,0
"34.742221,-120.57243",US,IRIDIUM 164,LEO,76.65490624047891,PAYLOAD,2018,AFWTR,43577,-42.19810634,2483,12
"30.4,130.97",JPN,TEN-KOH,LEO,-56.93664453,PAYLOAD,2018,TNSTA,43677,-96.02387672,2387,0
"34.742221,-120.57243",US,CORVUS BC4,LEO,22.17800327439313,PAYLOAD,2018,AFWTR,43767,-13.60481501,2352,14
"28.4917337,-80.5825555",US,NAVSTAR 77 (USA 289),MEO,-22.65185892,PAYLOAD,2018,AFETR,43873,50.04837611175158,2332,0
"28.4917337,-80.5825555",INDO,NUSANTARA SATU,GEO,146.04831902656667,PAYLOAD,2019,AFETR,44048,146.00011712755415,2271,0
"40.9675,100.278611",PRC,YAOGAN-32 B,LEO,-161.0479148,PAYLOAD,2018,JSC,43643,-176.1791568,2407,14
"34.742221,-120.57243",US,IRIDIUM 163,LEO,-107.4578677,PAYLOAD,2018,AFWTR,43575,103.73774370080454,2483,65
"28.246017,102.026556",PRC,YZ-1 R/B,MEO,73.43041279762357,ROCKET BODY,2018,XSC,43708,152.6270944354847,2367,0
"28.246017,102.026556",PRC,BEIDOU 3M18,MEO,-167.8761876,PAYLOAD,2018,XSC,43707,-94.01657436,2367,0
"40.9675,100.278611",PRC,HONGYAN 1,LEO,-65.97571984,PAYLOAD,2018,JSC,43914,-156.5188446,2326,11
"62.925556,40.577778",CIS,COSMOS 2528 DEB,LEO,3.660298872730541,DEBRIS,2018,PKMTR,45038,50.91237332729812,2391,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,-12.64680326,DEBRIS,2018,AFETR,44678,-105.2176569,2399,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,0,DEBRIS,2018,AFETR,52969,153.24584685509146,2399,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,-153.4820173,DEBRIS,2018,AFETR,52041,0,2399,0
"28.246017,102.026556",PRC,CZ-3B R/B,HEO,-81.70319619,ROCKET BODY,2019,XSC,44205,-116.109115,2214,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,-20.10646025,DEBRIS,2018,AFETR,44682,9.342656960268782,2399,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,0,DEBRIS,2018,AFETR,46859,0,2399,0
"30.4,130.97",JPN,GOSAT 2,LEO,-105.1555589,PAYLOAD,2018,TNSTA,43672,-159.8994999,2387,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,0,DEBRIS,2018,AFETR,46850,0,2399,0
"34.742221,-120.57243",US,STPSAT-5,LEO,-160.9010969,PAYLOAD,2018,AFWTR,43762,105.82183162521993,2352,14
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,109.45069989919695,DEBRIS,2018,AFETR,46601,-46.53651248,2399,0
"62.925556,40.577778",CIS,COSMOS 2528,LEO,-35.72616844,PAYLOAD,2018,PKMTR,43657,31.90122706692413,2391,13
"28.246017,102.026556",PRC,CZ-3B R/B,HEO,-78.60710654,ROCKET BODY,2019,XSC,44077,-118.7457211,2234,0
"34.742221,-120.57243",US,POLAR SCOUT YUKON,LEO,150.09040637823716,PAYLOAD,2018,AFWTR,43808,146.02728110539977,2352,7
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,0,DEBRIS,2018,AFETR,49357,0,2399,0
"5.222222,-52.773611",CIS,FREGAT R/B,Unknown Orbit Category,0,ROCKET BODY,2019,FRGUI,44116,0,2230,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,54.53845012868142,DEBRIS,2018,AFETR,46659,0,2399,0
"13.7178,80.2",IND,EMISAT,LEO,-135.1593309,PAYLOAD,2019,SRI,44078,-55.81775393,2233,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,-7.62907574,DEBRIS,2018,AFETR,49359,-178.1488165,2399,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,0,DEBRIS,2018,AFETR,46858,0,2399,0
"5.222222,-52.773611",FR,ARIANE 5 R/B,MEO,-103.8985614,ROCKET BODY,2018,FRGUI,43568,98.42439282290165,2483,0
"45.965,63.305",EGYP,EGYPTSAT A,LEO,-145.2668238,PAYLOAD,2019,TTMTR,44047,63.88744861,2272,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,-5.262787641,DEBRIS,2018,AFETR,44644,-153.9408817,2399,0
"34.742221,-120.57243",US,MINXSS-2,LEO,-154.3219278,PAYLOAD,2018,AFWTR,43758,-22.13575939,2352,12
"5.222222,-52.773611",FR,CSO-1,Unknown Orbit Category,0,PAYLOAD,2018,FRGUI,43866,0,2336,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,92.36167813463031,DEBRIS,2018,AFETR,44686,152.7660248536699,2399,0
"51.884553,128.334778",US,LEMUR 2 ZO,LEO,-132.0910262,PAYLOAD,2018,VOSTO,43886,7.404641488,2328,14
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,11.644385365128155,DEBRIS,2018,AFETR,44687,-95.65306506,2399,0
"51.884553,128.334778",TBD,OBJECT AA,LEO,112.7645983677226,UNKNOWN,2018,VOSTO,43900,119.06559370944774,2328,0
"28.246017,102.026556",PRC,TJS-3,GEO,173.00938286812982,PAYLOAD,2018,XSC,43874,148.47384724078054,2331,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,44.174671280172404,DEBRIS,2018,AFETR,44895,53.31157465521813,2399,0
"45.965,63.305",CIS,BREEZE-M R/B,GEO,-45.6607737,ROCKET BODY,2018,TTMTR,43868,-104.1684737,2334,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,96.67336673889562,DEBRIS,2018,AFETR,44647,5.726383803508244,2399,0
